,Mean,Median,Std
Year,2013.6279069767443,2014.0,2.891554127336687
Selling_Price,4.661295681063123,3.6,5.082811556177803
Present_Price,7.628471760797343,6.4,8.644115402015787
Kms_Driven,36947.20598006644,32000.0,38886.88388206788
Owner,0.04318936877076412,0.0,0.2479148926949197
